Sun Mar 27 15:41:27 2022    ./v3/output.dat

         17399582 function calls (17295031 primitive calls) in 9.661 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11291    0.005    0.000    0.005    0.000 C:\huji\thesis\Code\utils.py:53(filter_pred_iter)
    11291    0.004    0.000    0.004    0.000 C:\huji\thesis\Code\utils.py:62(filter_succ_iter)
    11291    0.147    0.000    0.695    0.000 C:\huji\thesis\Code\utils.py:13(_bidirectional_pred_succ)
    11291    0.048    0.000    0.751    0.000 C:\huji\thesis\Code\utils.py:136(_bidirectional_shortest_path)
    10328    0.009    0.000    0.018    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\encodings\cp1255.py:18(encode)
    10328    0.009    0.000    0.009    0.000 {built-in method _codecs.charmap_encode}
     8650    0.005    0.000    0.006    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\digraph.py:814(predecessors)
     5165    0.022    0.000    0.039    0.000 {built-in method builtins.print}
     5162    0.003    0.000    0.003    0.000 {built-in method time.time_ns}
     5161    0.038    0.000    0.172    0.000 C:\huji\thesis\Code\version1.py:250(print_all_flow)
     5161    0.092    0.000    0.092    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     1000    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      496    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      367    0.000    0.000    0.000    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\_collections_abc.py:901(__iter__)
    312/2    0.001    0.000    0.001    0.001 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\copy.py:128(deepcopy)
      272    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      225    0.000    0.000    0.000    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\digraph.py:568(add_edge)
      220    0.000    0.000    0.000    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\reportviews.py:196(__contains__)
      200    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      142    0.000    0.000    0.000    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\copy.py:243(_keep_alive)
      135    0.000    0.000    0.000    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\copy.py:182(_deepcopy_atomic)
      130    0.000    0.000    0.000    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\reportviews.py:187(__getitem__)
      126    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      120    0.000    0.000    0.000    0.000 {method '__deepcopy__' of 'numpy.generic' objects}
      120    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
