Sun Mar 27 15:41:27 2022    ./v3/output.dat

         17399582 function calls (17295031 primitive calls) in 9.661 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    52004    0.116    0.000    0.356    0.000 C:\huji\thesis\Code\utils.py:63(iterate)
   907458    0.107    0.000    0.107    0.000 {method 'append' of 'list' objects}
     5161    0.092    0.000    0.092    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
638725/638713    0.092    0.000    0.092    0.000 {built-in method builtins.len}
   520927    0.089    0.000    0.089    0.000 {method 'pop' of 'list' objects}
   104189    0.068    0.000    0.186    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\reportviews.py:1161(__init__)
    30586    0.067    0.000    0.067    0.000 {built-in method numpy.arange}
   104189    0.062    0.000    0.247    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\digraph.py:905(in_edges)
   104250    0.058    0.000    0.118    0.000 {built-in method builtins.hasattr}
   154705    0.058    0.000    0.079    0.000 C:\huji\thesis\Code\utils.py:39(iterate)
    11291    0.048    0.000    0.751    0.000 C:\huji\thesis\Code\utils.py:136(_bidirectional_shortest_path)
   104190    0.045    0.000    0.060    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\digraph.py:363(pred)
    20323    0.044    0.000    0.133    0.000 C:\huji\thesis\Code\utils.py:54(iterate)
     5161    0.038    0.000    0.172    0.000 C:\huji\thesis\Code\version1.py:250(print_all_flow)
    18277    0.028    0.000    0.926    0.000 C:\huji\thesis\Code\version1.py:305(find_augmenting_cycle)
        5    0.023    0.005    0.023    0.005 {built-in method io.open}
   138208    0.023    0.000    0.023    0.000 {method 'remove' of 'set' objects}
     5165    0.022    0.000    0.039    0.000 {built-in method builtins.print}
    22582    0.018    0.000    0.028    0.000 C:\huji\thesis\Code\version1.py:177(set_constrained_edges)
    55000    0.017    0.000    0.017    0.000 {method 'update' of 'set' objects}
    19431    0.011    0.000    0.015    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\digraph.py:782(successors)
    10328    0.009    0.000    0.018    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\encodings\cp1255.py:18(encode)
    10328    0.009    0.000    0.009    0.000 {built-in method _codecs.charmap_encode}
    22582    0.009    0.000    0.009    0.000 C:\huji\thesis\Code\utils.py:38(filter_iter)
    18163    0.007    0.000    0.010    0.000 C:\Users\Daniel\AppData\Local\Programs\Python\Python310\lib\site-packages\networkx\classes\graph.py:398(__iter__)
    18277    0.005    0.000    0.005    0.000 {method 'index' of 'list' objects}
    11291    0.005    0.000    0.005    0.000 C:\huji\thesis\Code\utils.py:53(filter_pred_iter)
